,88
Attribute,libReadsSeqd
Description,"Library reads sequenced. Total number of clones sequenced from the library. Example - '20'Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,INTEGER
Ontology,MIMS (Minimum information about a metagenome sequence.
Notes, https://pubmed.ncbi.nlm.nih.gov/18479204/
UsedIn,Metagenomics
